,aiddata_id,aiddata_2_id,year,donor,recipient,commitment_amount_usd_constant,coalesced_purpose_code,coalesced_purpose_name
62235,84742635,6783345,1973,Japan,Korea,132168200,22020,Telecommunications
66557,87034119,6420965,1973,France,India,27825666,23020,Power generation/non-renewable sources
67939,87772377,6792164,1973,United States,Korea,100810252,53030,Import support (capital goods)
66775,87151110,6432314,1973,Japan,India,19824939,32120,Industrial development
70682,89212770,6420926,1973,France,India,36172869,53030,Import support (capital goods)
65171,86267981,5742205,1973,Germany,India,11949500,32120,Industrial development
66782,87156180,6791543,1973,United States,Brazil,60486151,32120,Industrial development
70567,89149762,5735367,1973,Japan,Thailand,38818266,22020,Telecommunications
66066,86777893,5742371,1973,Germany,India,20482253,32120,Industrial development
66355,86936864,5742162,1973,Germany,India,13653317,32120,Industrial development
67762,87673889,5747780,1973,Sweden,India,84948346,53030,Import support (capital goods)
62075,84641527,6432392,1973,Japan,Korea,23174650,32120,Industrial development
68616,88119622,6422648,1973,Germany,Thailand,17070063,32120,Industrial development
64916,86140702,6425332,1973,Sweden,India,69954880,53030,Import support (capital goods)
70382,89062909,5721157,1973,Germany,Colombia,25602816,32120,Industrial development
64061,85681542,6423287,1973,Germany,Korea,29015007,21030,Rail transport
70311,89020424,6420846,1973,France,Thailand,66777621,21030,Rail transport
70383,89062948,5721028,1973,Germany,Korea,34135570,22020,Telecommunications
63123,85198155,5742033,1973,Germany,India,8532754,32120,Industrial development
63122,85198077,6777142,1974,Germany,India,11129808,32120,Industrial development
69108,88384774,5736323,1974,France,Colombia,15256725,21050,Air transport
70280,89003524,6777394,1974,Germany,Brazil,39749314,21030,Rail transport
62849,85049561,6453099,1974,Japan,Thailand,106380932,22020,Telecommunications
64532,85935341,6745988,1974,Japan,India,4787142,32220,Mineral/Metal prospection and exploration
65783,86636285,6760304,1974,United States,Colombia,879831,32120,Industrial development
69993,88865220,6437782,1974,Germany,India,31801042,53030,Import support (capital goods)
65533,86486213,6447886,1974,Canada,India,348169,32220,Mineral/Metal prospection and exploration
67630,87607269,6453706,1974,Japan,Thailand,123490531,23030,Power generation/renewable sources
64380,85854629,6449169,1974,Canada,India,1370914,23030,Power generation/renewable sources
69684,88690101,6774269,1974,Germany,Thailand,31799452,23020,Power generation/non-renewable sources
65063,86207173,5736131,1974,France,India,64672631,32120,Industrial development
66879,87206492,6777016,1974,Germany,India,12719781,32120,Industrial development
66379,86945801,6452687,1974,Japan,Thailand,74094319,22020,Telecommunications
69467,88576876,6768103,1974,Germany,India,15899726,32120,Industrial development
65371,86393483,6777310,1974,Germany,India,7949863,32120,Industrial development
